epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
167,358.282,0.55755,0.43889,1.00122,0.85522,0.8425,0.86756,0.61373,1.14716,0.75681,1.57417,0.000254791,0.000254791,0.000254791
168,360.362,0.54539,0.43132,1.00206,0.87874,0.76261,0.86449,0.61809,1.14326,0.73863,1.57945,0.000247717,0.000247717,0.000247717
169,362.385,0.54668,0.44957,1.00264,0.73111,0.83039,0.85452,0.60721,1.13136,0.77994,1.57371,0.000240644,0.000240644,0.000240644
170,364.42,0.5528,0.41641,1.0071,0.81823,0.74883,0.83944,0.59279,1.14651,0.84733,1.59982,0.00023357,0.00023357,0.00023357
171,366.45,0.56256,0.43356,0.98708,0.74642,0.8229,0.82982,0.57918,1.12765,0.86639,1.57182,0.000226497,0.000226497,0.000226497
172,368.465,0.56771,0.45562,1.01976,0.75977,0.81667,0.83672,0.5978,1.11422,0.85294,1.55287,0.000219423,0.000219423,0.000219423
173,370.527,0.5556,0.4504,1.00274,0.81743,0.79244,0.85382,0.59193,1.11785,0.81298,1.55375,0.000212349,0.000212349,0.000212349
174,372.69,0.56071,0.45703,1.01624,0.84762,0.74481,0.84066,0.5953,1.1357,0.79631,1.58162,0.000205276,0.000205276,0.000205276
175,374.815,0.54442,0.41918,1.02046,0.79113,0.83112,0.83979,0.58553,1.14824,0.79875,1.57245,0.000198202,0.000198202,0.000198202
176,377.045,0.51988,0.42758,0.99209,0.84681,0.81805,0.84299,0.59386,1.1527,0.8109,1.55691,0.000191129,0.000191129,0.000191129
177,379.112,0.53919,0.40622,0.99499,0.84834,0.81899,0.85911,0.59138,1.15843,0.79735,1.555,0.000184055,0.000184055,0.000184055
178,381.343,0.553,0.43111,0.99192,0.78509,0.82653,0.84398,0.58988,1.14949,0.81085,1.56619,0.000176982,0.000176982,0.000176982
179,383.467,0.53097,0.41841,1.00526,0.80281,0.80943,0.84275,0.59702,1.10807,0.78265,1.53648,0.000169908,0.000169908,0.000169908
