epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,359.227,0.76161,0.64114,1.14265,0.97985,0.83333,0.90755,0.60255,1.24512,0.99655,1.74799,0.00114436,0.00114436,0.00114436
139,361.13,0.72069,0.63426,1.11412,0.91907,0.78866,0.88101,0.59469,1.25035,1.01336,1.82038,0.00113408,0.00113408,0.00113408
140,362.994,0.77593,0.61112,1.15362,0.93043,0.75,0.88196,0.57849,1.29968,0.97139,1.7329,0.00112379,0.00112379,0.00112379
141,364.878,0.74637,0.59914,1.12077,0.89447,0.84722,0.933,0.61966,1.22109,0.87177,1.67087,0.00111348,0.00111348,0.00111348
142,366.757,0.78061,0.63936,1.14212,0.98356,0.8312,0.93395,0.62429,1.29746,0.97689,1.72434,0.00110317,0.00110317,0.00110317
143,368.628,0.72274,0.57808,1.11262,0.97978,0.77778,0.90852,0.61758,1.21057,0.90982,1.70873,0.00109284,0.00109284,0.00109284
144,370.473,0.71999,0.59556,1.10038,0.83828,0.90278,0.90872,0.62207,1.20482,1.01276,1.65117,0.00108251,0.00108251,0.00108251
145,372.356,0.72309,0.59147,1.09332,0.90044,0.83333,0.90966,0.62234,1.22387,1.01188,1.69425,0.00107216,0.00107216,0.00107216
146,374.259,0.71109,0.57284,1.10155,0.95176,0.84722,0.9154,0.59609,1.28975,1.00012,1.73443,0.00106181,0.00106181,0.00106181
147,376.124,0.71719,0.58718,1.12077,0.96488,0.83333,0.90868,0.59113,1.29433,0.99645,1.75171,0.00105146,0.00105146,0.00105146
148,378.018,0.72805,0.59332,1.11466,0.9665,0.80148,0.91309,0.59837,1.2074,1.07599,1.65069,0.0010411,0.0010411,0.0010411
149,379.873,0.74007,0.58592,1.11084,0.94939,0.83333,0.90171,0.617,1.13822,1.02166,1.607,0.00103073,0.00103073,0.00103073
150,381.789,0.71062,0.58242,1.09632,0.98177,0.84722,0.89455,0.63152,1.15348,1.00977,1.61859,0.00102037,0.00102037,0.00102037
151,383.672,0.71354,0.58255,1.11673,0.94776,0.83333,0.90167,0.61992,1.15125,0.97044,1.61509,0.00101,0.00101,0.00101
152,385.578,0.70136,0.55068,1.10513,0.79819,0.87897,0.90442,0.62248,1.25851,0.90427,1.75705,0.000999633,0.000999633,0.000999633
153,387.451,0.72025,0.58748,1.1327,0.96822,0.84628,0.93521,0.65007,1.19322,0.83501,1.70541,0.000989267,0.000989267,0.000989267
154,389.336,0.71958,0.55409,1.10881,0.92174,0.86111,0.91047,0.61744,1.1534,0.89569,1.62194,0.000978903,0.000978903,0.000978903
155,391.226,0.69979,0.56916,1.10998,0.89317,0.84722,0.91428,0.60207,1.25089,1.03152,1.6464,0.000968543,0.000968543,0.000968543
156,393.11,0.67425,0.55687,1.10059,0.91411,0.93056,0.95139,0.64507,1.21527,0.834,1.65844,0.000958187,0.000958187,0.000958187
157,394.972,0.68999,0.58625,1.12555,0.91608,0.90968,0.94583,0.63965,1.20254,0.93364,1.64735,0.000947837,0.000947837,0.000947837
158,396.854,0.70314,0.56676,1.11539,0.94629,0.84722,0.92696,0.61298,1.16952,0.98635,1.63563,0.000937494,0.000937494,0.000937494
159,398.788,0.68664,0.56123,1.0796,0.93689,0.83333,0.91496,0.61736,1.21855,1.00259,1.64238,0.000927159,0.000927159,0.000927159
160,400.659,0.67789,0.56829,1.07838,0.93822,0.84379,0.92252,0.62285,1.21786,1.03025,1.67457,0.000916833,0.000916833,0.000916833
161,402.482,0.68238,0.54455,1.08387,0.93701,0.82644,0.91811,0.58122,1.29948,1.02072,1.75359,0.000906517,0.000906517,0.000906517
162,404.354,0.6876,0.55558,1.09184,0.92496,0.85601,0.91295,0.61329,1.21939,0.90719,1.71463,0.000896212,0.000896212,0.000896212
163,406.23,0.73103,0.57745,1.11965,0.94125,0.88889,0.93198,0.57601,1.31017,0.96026,1.80311,0.00088592,0.00088592,0.00088592
164,408.095,0.67714,0.55214,1.08934,0.95572,0.89926,0.93265,0.62503,1.22777,0.88448,1.74179,0.000875642,0.000875642,0.000875642
165,410.009,0.69958,0.55289,1.11066,0.92863,0.90362,0.94643,0.62191,1.29553,1.00242,1.73913,0.000865378,0.000865378,0.000865378
166,411.881,0.73503,0.56588,1.1099,0.94918,0.84722,0.94285,0.62358,1.28129,0.99899,1.73416,0.00085513,0.00085513,0.00085513
167,413.783,0.70111,0.55692,1.09588,0.91859,0.84722,0.92658,0.59971,1.24864,1.0336,1.73103,0.000844899,0.000844899,0.000844899
168,415.665,0.65454,0.50992,1.086,0.92745,0.81944,0.92288,0.57809,1.29141,1.08778,1.75293,0.000834686,0.000834686,0.000834686
169,417.545,0.66465,0.52581,1.07631,0.98285,0.79617,0.91618,0.59177,1.26779,1.05351,1.67527,0.000824492,0.000824492,0.000824492
170,419.41,0.69711,0.55139,1.08768,0.92415,0.83333,0.90663,0.63317,1.22101,0.97729,1.62676,0.000814319,0.000814319,0.000814319
171,421.329,0.67226,0.52359,1.06978,0.98295,0.86111,0.93016,0.62663,1.16472,0.87451,1.63365,0.000804167,0.000804167,0.000804167
172,423.216,0.66166,0.54068,1.07715,0.96882,0.86313,0.92279,0.60458,1.2101,0.94529,1.68173,0.000794038,0.000794038,0.000794038
173,425.1,0.65816,0.51675,1.06439,0.92339,0.83704,0.91518,0.60441,1.2066,0.97337,1.6785,0.000783933,0.000783933,0.000783933
174,426.986,0.66786,0.54527,1.08973,0.96811,0.84321,0.91305,0.5848,1.27213,1.02354,1.69749,0.000773852,0.000773852,0.000773852
175,428.856,0.66864,0.51507,1.09713,0.9675,0.82689,0.91878,0.59341,1.27487,1.00511,1.68571,0.000763797,0.000763797,0.000763797
176,430.743,0.654,0.55638,1.07487,0.92481,0.8542,0.92101,0.62178,1.13919,0.92574,1.59022,0.000753769,0.000753769,0.000753769
177,432.619,0.63326,0.4898,1.05707,0.95008,0.86111,0.93202,0.65191,1.12941,0.89814,1.58419,0.000743769,0.000743769,0.000743769
178,434.466,0.66612,0.50323,1.07434,0.96648,0.875,0.93517,0.65743,1.12074,0.88385,1.5726,0.000733799,0.000733799,0.000733799
179,436.347,0.66637,0.51487,1.07839,0.95407,0.86561,0.93693,0.63532,1.16497,0.89541,1.59638,0.000723859,0.000723859,0.000723859
